_id,DatGeracaoConjuntoDados,NomEmpreendimento,IdeNucleoCEG,CodCEG,SigUFPrincipal,SigTipoGeracao,DscFaseUsina,DscOrigemCombustivel,DscFonteCombustivel,DscTipoOutorga,NomFonteCombustivel,DatEntradaOperacao,MdaPotenciaOutorgadaKw,MdaPotenciaFiscalizadaKw,MdaGarantiaFisicaKw,IdcGeracaoQualificada,NumCoordNEmpreendimento,NumCoordEEmpreendimento,DatInicioVigencia,DatFimVigencia,DscPropriRegimePariticipacao,DscSubBacia,DscMuninicpios
1,2026-08-07,E,000008,PCH.PH.MG.000008-6.1,MG,PCH,Operação,Hídrica,Potencial hidráulico,Autorização,Potencial hidráulico,1953-11-20,"1400,00",1400,",00",Não,"-20,12479858","-43,87020250",2000-07-07,2030-07-07,100% para ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A. - 18.565.382/0001-66 (APE),41 - Das Velhas - Sao Francisco,Nova Lima - MG
2,2026-08-07,F,000009,PCH.PH.MG.000009-4.1,MG,PCH,Operação,Hídrica,Potencial hidráulico,Autorização,Potencial hidráulico,1953-11-20,"3972,00",3972,",00",Não,"-20,13187300","-43,87693500",2000-07-07,2030-07-07,100% para ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A. - 18.565.382/0001-66 (APE),41 - Das Velhas - Sao Francisco,Nova Lima - MG
3,2026-08-07,G,000010,PCH.PH.MG.000010-8.1,MG,PCH,Operação,Hídrica,Potencial hidráulico,Autorização,Potencial hidráulico,1937-01-01,"1440,00",1440,",00",Não,"-20,13754468","-43,89192620",2000-08-31,2030-08-31,100% para ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A. - 18.565.382/0001-66 (APE),41 - Das Velhas - Sao Francisco,Nova Lima - MG
4,2026-08-07,14 de Julho,000012,UHE.PH.RS.000012-4.1,RS,UHE,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,2008-12-25,"100000,00",100000,"45200,00",Não,"-29,06475278","-51,67494167",2001-03-15,2039-11-13,100% para CERAN - COMPANHIA ENERGETICA RIO DAS ANTAS - 04.237.975/0001-99 (PIE),86 - Taquari,"Bento Gonçalves - RS, Cotiporã - RS"
5,2026-08-07,Abaúna,000015,CGH.PH.RS.000015-9.1,RS,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,2000-10-15,"720,00",720,",00",Não,"-27,82377500","-52,06999722",,,"50% para CRERAL- COOPERATIVA DE GERACAO DE ENERGIA E DESENVOLVIMENTO - 11.192.351/0001-68 (REG), 50% para HIPPO SUPERMERCADOS LTDA - 01.936.465/0001-11 (REG)","72 - Uruguai, Inhanduva, Peixe e outros",Floriano Peixoto - RS
6,2026-08-07,Abrasa,000016,CGH.PH.SC.000016-7.1,SC,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1965-02-01,"1460,00",1460,",00",Não,"-26,77166667","-52,18750000",,,100% para Avelino Bragagnolo S.A. Indústria e Comércio - 84.586.833/0001-76 (REG),"73 - Uruguai, Chapeco,Passo Fundo e outros",Faxinal dos Guedes - SC
7,2026-08-07,Açominas,000019,UTE.CM.MG.000019-1.1,MG,UTE,Operação,Fóssil,Carvão mineral,Autorização,Gás de Alto Forno - CM,2002-08-01,"102890,00",102890,",00",Sim,"-20,52460840","-43,67546915",1999-07-30,2029-07-30,100% para GERDAU ACOMINAS S/A - 17.227.422/0001-05 (APE),,Ouro Branco - MG
8,2026-08-07,Agro Trafo,000031,PCH.PH.TO.000031-0.1,TO,PCH,Operação,Hídrica,Potencial hidráulico,Autorização,Potencial hidráulico,1992-01-01,"14040,00",14040,"6800,00",Não,"-11,67563889","-46,66815833",2017-07-13,2047-07-13,100% para SOCIBE ENERGIA S.A. - 02.131.646/0001-33 (PIE),"21 - Tocantins, entre os rios Preto e Parana",Dianópolis - TO
9,2026-08-07,Agro Trafo,000031,PCH.PH.TO.000031-0.1,TO,PCH,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1992-01-01,"14040,00",14040,"6800,00",Não,"-11,67563889","-46,66815833",2017-07-13,2047-07-13,100% para SOCIBE ENERGIA S.A. - 02.131.646/0001-33 (PIE),"21 - Tocantins, entre os rios Preto e Parana",Dianópolis - TO
10,2026-08-07,Com. Ind Água Fria,000038,UTE.PE.RR.000038-8.1,RR,UTE,Operação,Fóssil,Petróleo,Registro,Óleo Diesel,1997-06-30,"224,80",224,",00",Não,"4,63111100","-60,50194400",,,100% para RORAIMA ENERGIA S.A - 02.341.470/0001-44 (REG),,Uiramutã - RR
